% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.155	1	9	16	6	65	28	549	0	0	1
0.156	1	10	16	7	31	28	549	0	0	0
0.156	1	10	16	7	31	28	549	0	0	1
0.157	1	14	16	8	72	28	549	0	0	0
0.157	1	14	16	8	72	28	549	0	0	1
0.158	1	1	16	9	39	28	549	0	0	0
0.158	1	1	16	9	39	28	549	0	0	1
0.159	1	5	16	10	78	28	549	0	0	0
0.159	1	5	16	10	78	28	549	0	0	1
0.16	1	4	17	1	44	28	549	0	0	0
0.16	1	4	17	1	44	28	549	0	0	1
0.161	1	11	17	2	1	28	549	0	0	0
0.161	1	11	17	2	1	28	549	0	0	1
0.162	1	8	17	3	83	28	549	0	0	0
0.162	1	8	17	3	83	28	549	0	0	1
0.163	1	7	17	4	52	28	549	0	0	0
0.163	1	7	17	4	52	28	549	0	0	1
0.164	1	3	17	5	10	28	549	0	0	0
0.164	1	3	17	5	10	28	549	0	0	1
0.165	1	13	17	6	87	28	549	0	0	0
0.165	1	13	17	6	87	28	549	0	0	1
0.166	1	12	17	7	59	28	549	0	0	0
0.166	1	12	17	7	59	28	549	0	0	1
0.167	1	6	17	8	20	28	549	0	0	0
0.167	1	6	17	8	20	28	549	0	0	1
0.168	1	2	17	9	90	28	549	0	0	0
0.168	1	2	17	9	90	28	549	0	0	1
0.169	1	15	17	10	92	28	549	0	0	0
0.169	1	15	17	10	92	28	549	0	0	1
0.17	1	9	18	1	65	28	549	0	0	0
0.17	1	9	18	1	65	28	549	0	0	1
0.171	1	10	18	2	31	28	549	0	0	0
0.171	1	10	18	2	31	28	549	0	0	1
0.172	1	14	18	3	72	28	549	0	0	0
0.172	1	14	18	3	72	28	549	0	0	1
0.173	1	1	18	4	39	28	549	0	0	0
0.173	1	1	18	4	39	28	549	0	0	1
0.174	1	5	18	5	78	28	549	0	0	0
0.174	1	5	18	5	78	28	549	0	0	1
0.175	1	4	18	6	44	28	549	0	0	0
0.175	1	4	18	6	44	28	549	0	0	1
0.176	1	11	18	7	1	28	549	0	0	0
0.176	1	11	18	7	1	28	549	0	0	1
0.177	1	8	18	8	83	28	549	0	0	0
0.177	1	8	18	8	83	28	549	0	0	1
0.178	1	7	18	9	52	28	549	0	0	0
0.178	1	7	18	9	52	28	549	0	0	1
0.179	1	3	18	10	10	28	549	0	0	0
0.179	1	3	18	10	10	28	549	0	0	1
0.18	1	13	19	1	87	28	549	0	0	0
0.18	1	13	19	1	87	28	549	0	0	1
0.181	1	12	19	2	59	28	549	0	0	0
0.181	1	12	19	2	59	28	549	0	0	1
0.182	1	6	19	3	20	28	549	0	0	0
0.182	1	6	19	3	20	28	549	0	0	1
0.183	1	2	19	4	90	28	549	0	0	0
0.183	1	2	19	4	90	28	549	0	0	1
