% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
142	1	12	59	0	20	161	0	1	0
142	1	9	65	0	20	161	0	1	0
142	2	6	20	0	20	161	0	1	1
142	2	3	10	0	20	161	0	1	1
143	1	5	78	0	20	161	0	1	0
143	1	14	72	0	20	161	0	1	0
143	2	1	39	0	20	161	0	1	1
143	2	10	31	0	20	161	0	1	1
144	1	8	83	0	20	161	0	1	0
144	1	13	87	0	20	161	0	1	0
144	2	7	52	0	20	161	0	1	1
144	2	4	44	0	20	161	0	1	1
145	1	2	90	0	20	161	0	1	0
145	1	15	92	0	20	161	0	1	0
145	2	9	65	0	20	161	0	1	1
145	2	12	59	0	20	161	0	1	1
146	1	3	10	0	20	161	0	1	0
146	1	11	1	0	20	161	0	1	0
146	2	5	78	0	20	161	0	1	1
146	2	14	72	0	20	161	0	1	1
147	1	10	31	0	20	161	0	1	0
147	1	6	20	0	20	161	0	1	0
147	2	8	83	0	20	161	0	1	1
147	2	13	87	0	20	161	0	1	1
148	1	1	39	0	20	161	0	1	0
148	1	4	44	0	20	161	0	1	0
148	2	2	90	0	20	161	0	1	1
148	2	15	92	0	20	161	0	1	1
149	1	12	59	0	20	161	0	1	0
149	1	7	52	0	20	161	0	1	0
149	2	3	10	0	20	161	0	1	1
149	2	11	1	0	20	161	0	1	1
150	1	9	65	0	20	161	0	1	0
150	1	14	72	0	20	161	0	1	0
150	2	6	20	0	20	161	0	1	1
150	2	10	31	0	20	161	0	1	1
151	1	8	83	0	20	161	0	1	0
151	1	5	78	0	20	161	0	1	0
151	2	1	39	0	20	161	0	1	1
151	2	4	44	0	20	161	0	1	1
152	1	2	90	0	20	161	0	1	0
152	1	13	87	0	20	161	0	1	0
152	2	7	52	0	20	161	0	1	1
152	2	12	59	0	20	161	0	1	1
153	1	11	1	0	20	161	0	1	0
153	1	15	92	0	20	161	0	1	0
153	2	9	65	0	20	161	0	1	1
153	2	14	72	0	20	161	0	1	1
154	1	3	10	0	20	161	0	1	0
154	1	6	20	0	20	161	0	1	0
154	2	5	78	0	20	161	0	1	1
154	2	8	83	0	20	161	0	1	1
155	1	1	39	0	20	161	0	1	0
155	1	10	31	0	20	161	0	1	0
155	2	2	90	0	20	161	0	1	1
155	2	13	87	0	20	161	0	1	1
156	1	4	44	0	20	161	0	1	0
156	1	7	52	0	20	161	0	1	0
156	2	15	92	0	20	161	0	1	1
156	2	11	1	0	20	161	0	1	1
157	1	12	59	0	20	161	0	1	0
157	1	9	65	0	20	161	0	1	0
157	2	6	20	0	20	161	0	1	1
157	2	3	10	0	20	161	0	1	1
158	1	5	78	0	20	161	0	1	0
158	1	14	72	0	20	161	0	1	0
158	2	1	39	0	20	161	0	1	1
158	2	10	31	0	20	161	0	1	1
159	1	8	83	0	20	161	0	1	0
159	1	13	87	0	20	161	0	1	0
159	2	7	52	0	20	161	0	1	1
159	2	4	44	0	20	161	0	1	1
160	1	2	90	0	20	161	0	1	0
160	1	15	92	0	20	161	0	1	0
160	2	9	65	0	20	161	0	1	1
160	2	12	59	0	20	161	0	1	1
161	1	3	10	0	20	161	0	1	0
161	1	11	1	0	20	161	0	1	0
